#SampleID,Treatment,Treatment_study,Study,Description
41.T1,p,8wk.P,Adult,41.T1
41.T2,p,8wk.P,Adult,41.T2
41.T3,p,8wk.P,Adult,41.T3
41.T4,p,8wk.P,Adult,41.T4
41.T5,p,8wk.P,Adult,41.T5
42.T1,p,8wk.P,Adult,42.T1
42.T2,p,8wk.P,Adult,42.T2
42.T3,p,8wk.P,Adult,42.T3
42.T4,p,8wk.P,Adult,42.T4
42.T5,p,8wk.P,Adult,42.T5
43.T1,p,8wk.P,Adult,43.T1
43.T2,p,8wk.P,Adult,43.T2
43.T3,p,8wk.P,Adult,43.T3
43.T4,p,8wk.P,Adult,43.T4
43.T5,p,8wk.P,Adult,43.T5
44.T1,p,8wk.P,Adult,44.T1
44.T2,p,8wk.P,Adult,44.T2
44.T3,p,8wk.P,Adult,44.T3
44.T4,p,8wk.P,Adult,44.T4
44.T5,p,8wk.P,Adult,44.T5
45.T1,p,8wk.P,Adult,45.T1
45.T2,p,8wk.P,Adult,45.T2
45.T3,p,8wk.P,Adult,45.T3
45.T4,p,8wk.P,Adult,45.T4
45.T5,p,8wk.P,Adult,45.T5
46.T1,p,8wk.P,Adult,46.T1
46.T2,p,8wk.P,Adult,46.T2
46.T3,p,8wk.P,Adult,46.T3
46.T4,p,8wk.P,Adult,46.T4
46.T5,p,8wk.P,Adult,46.T5
47.T1,p,8wk.P,Adult,47.T1
47.T2,p,8wk.P,Adult,47.T2
47.T3,p,8wk.P,Adult,47.T3
47.T4,p,8wk.P,Adult,47.T4
47.T5,p,8wk.P,Adult,47.T5
48.T1,p,8wk.P,Adult,48.T1
48.T2,p,8wk.P,Adult,48.T2
48.T3,p,8wk.P,Adult,48.T3
48.T4,p,8wk.P,Adult,48.T4
48.T5,p,8wk.P,Adult,48.T5
49.T1,l,8wk.L,Adult,49.T1
49.T2,l,8wk.L,Adult,49.T2
49.T3,l,8wk.L,Adult,49.T3
49.T4,l,8wk.L,Adult,49.T4
49.T5,l,8wk.L,Adult,49.T5
51.T1,l,8wk.L,Adult,51.T1
51.T2,l,8wk.L,Adult,51.T2
51.T3,l,8wk.L,Adult,51.T3
51.T4,l,8wk.L,Adult,51.T4
51.T5,l,8wk.L,Adult,51.T5
52.T1,l,8wk.L,Adult,52.T1
52.T2,l,8wk.L,Adult,52.T2
52.T3,l,8wk.L,Adult,52.T3
52.T4,l,8wk.L,Adult,52.T4
52.T5,l,8wk.L,Adult,52.T5
54.T1,l,8wk.L,Adult,54.T1
54.T2,l,8wk.L,Adult,54.T2
54.T3,l,8wk.L,Adult,54.T3
54.T4,l,8wk.L,Adult,54.T4
54.T5,l,8wk.L,Adult,54.T5
55.T1,l,8wk.L,Adult,55.T1
55.T2,l,8wk.L,Adult,55.T2
55.T3,l,8wk.L,Adult,55.T3
55.T4,l,8wk.L,Adult,55.T4
55.T5,l,8wk.L,Adult,55.T5
56.T1,l,8wk.L,Adult,56.T1
56.T2,l,8wk.L,Adult,56.T2
56.T3,l,8wk.L,Adult,56.T3
56.T4,l,8wk.L,Adult,56.T4
56.T5,l,8wk.L,Adult,56.T5
