#SampleID,Treatment_study,Treatment,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Ruminococcus],k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;Other,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae];g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__;g__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia
41.T1,8wk.P,p,0.000492287,0.000451264,0.001312767,0.005989498,0.01989662,0.005989498,0.012922547,0.005784378,0.000369216,0.438587135,0.248523138,0.000082,0.028388579,0.000164096,0.001353791,0.000451264,0.111256974,0.000369216,0.000943551,0.002830653,0.032408927,0.005004923,0.000041,0.001517886,0.001517886,0.000082,0.010912373,0.000082,0.000287168,0.00041024,0.009558582,0.015096817,0.016696751,0.000328192,0.000123072,0.00196915,0,0.001517886,0.005620282,0.005456186,0.001476862,0.001025599,0.000164096
41.T2,8wk.P,p,0.000753034,0.00040548,0.000579257,0.001071625,0.00978944,0.002925247,0.009499812,0.007935818,0.000492368,0.554174993,0.182118342,0.000173777,0.011672025,0.000029,0.007501376,0.00060822,0.100993425,0.000376517,0.000492368,0.001592956,0.03588496,0.004054798,0,0.001245402,0.00173777,0.000029,0.009499812,0.000029,0.0000579,0.0000579,0.006777305,0.02427086,0.005126423,0.000115851,0.000029,0.00173777,0,0.001621919,0.005416051,0.00315695,0.001535031,0.001071625,0.000434443
41.T3,8wk.P,p,0.000348779,0.000672646,0.002740409,0.003388142,0.00834579,0.001669158,0.007075237,0.004160438,0.001145989,0.593996014,0.170453413,0.0000747,0.001619332,0.000323866,0.020179372,0.002590932,0.068310912,0.000249128,0.000398605,0.001121076,0.03285999,0.0000498,0.000124564,0.001170902,0.00186846,0.0000249,0.009167912,0.0000498,0.0000997,0.000672646,0.007324365,0.014225212,0.016865969,0.000224215,0.000149477,0.005455904,0.0000249,0.000249128,0.009541604,0.001968112,0.00363727,0.000597907,0.001893373
41.T4,8wk.P,p,0.000211556,0.000714002,0.002485786,0.006928468,0.015152717,0.00285601,0.018061616,0.007827582,0.000766891,0.391352638,0.403543567,0.000264445,0.000925559,0.0000793,0.006214465,0.002062674,0.047044823,0.00029089,0.000502446,0.000978448,0.012402486,0.0000793,0.0000529,0.000449557,0.002353563,0,0.005606241,0,0.000158667,0.000555335,0.006082242,0.008171361,0.029617877,0.000132223,0.0000529,0.006373132,0.0000529,0.001295782,0.00846225,0.001480894,0.002221341,0.00058178,0.000264445
41.T5,8wk.P,p,0.000320293,0.000754976,0.005376344,0.005696637,0.015900252,0.003500343,0.01603752,0.0044841,0.002081903,0.470098376,0.062296957,0.000160146,0.042827728,0.000160146,0.013246397,0.00530771,0.111690689,0.001006635,0.000183024,0.000938,0.082383894,0.0000229,0.000160146,0.001738733,0.001921757,0.000480439,0.031411576,0.0000686,0,0.000388927,0.01686113,0.043605582,0.021093571,0.000892244,0.000183024,0.003363075,0,0.000320293,0.009471517,0.00777854,0.008602151,0.00377488,0.001372684
42.T1,8wk.P,p,0.000903054,0.000143167,0.000209244,0.000980144,0.023126989,0.004845655,0.014525952,0.00509895,0.0000991,0.387872647,0.460898869,0.0000661,0.000737861,0.0000551,0.018369437,0.000209244,0.031397641,0.000198231,0.000132154,0.000704823,0.003645254,0.002158519,0.000022,0.00023127,0.001453696,0.000033,0.001046221,0,0.0000991,0.000011,0.009449027,0.002070416,0.016508265,0.0000441,0.0000441,0.001949275,0.000022,0.001387619,0.003788421,0.000209244,0.000176206,0.000506591,0.000264308
42.T2,8wk.P,p,0.000595778,0.000192482,0.002080641,0.001384039,0.020751414,0.001961485,0.023748637,0.013327101,0.000293306,0.306981604,0.040137121,0.000100824,0.028157395,0.0000642,0.005096195,0.000164985,0.466118551,0.0000917,0.001384039,0.000549949,0.030595503,0.003647996,0,0.000779095,0.001246551,0.0000183,0.007112675,0.0000367,0.0000275,0,0.006361078,0.014225351,0.005581984,0.000210814,0.000137487,0.001200722,0.002007314,0.000274975,0.002007314,0.006736877,0.003052218,0.00010999,0.000302472
42.T3,8wk.P,p,0.000168167,0.000321047,0.00119246,0.005396646,0.012734861,0.001513507,0.023054226,0.011481249,0.000657382,0.360122915,0.295531333,0.000825549,0.007292351,0.000168167,0.010456957,0.000137592,0.080552201,0.000458638,0.000580942,0.00305759,0.020761034,0.011420098,0.0000764,0.00178869,0.001895706,0.000244607,0.014370672,0.0000459,0.000305759,0.000580942,0.00759811,0.007628686,0.026983229,0.000137592,0.0000764,0.004372353,0.000412775,0.000794973,0.009432664,0.003898427,0.001406491,0.064469279,0.002033297
42.T4,8wk.P,p,0.000323724,0.000255571,0.001363048,0.011364411,0.020786479,0.004600286,0.039340966,0.015470592,0.001499353,0.350933688,0.223522797,0.000170381,0.009285763,0.000170381,0.027073536,0.000136305,0.121669052,0.000238533,0.000954133,0.001039324,0.049308253,0.006491515,0.0000682,0.004259524,0.002487562,0.000885981,0.032440537,0.0000341,0.000136305,0.000391876,0.013596402,0.013579363,0.027772098,0.0003578,0.000340762,0.003612077,0.000391876,0.000511143,0.004140258,0.002214953,0.001039324,0.001908267,0.000323724
42.T5,8wk.P,p,0.0004847,0.000258506,0.001777232,0.004071477,0.011083465,0.002778945,0.020680518,0.007593628,0.00058164,0.578699066,0.122111998,0.000161567,0.011115779,0.0000969,0.049697871,0.000904773,0.042039616,0.000646266,0.000129253,0.001518726,0.035544641,0.00019388,0.0000969,0.001001713,0.004523863,0.000904773,0.008142954,0,0.000129253,0.002326558,0.010921899,0.0089831,0.046854299,0.000258506,0.00019388,0.002520438,0.00019388,0.0004847,0.008401461,0.003199018,0.002003425,0.001389472,0.002455812
