#SampleID,Treatment,Treatment_study,Study,Description
A01P4A,p,4wk.p,Prepubertal,A01P4A
A02P4A,p,4wk.p,Prepubertal,A02P4A
A03P4B,p,4wk.p,Prepubertal,A03P4B
A05P4C,p,4wk.p,Prepubertal,A05P4C
A06P4C,p,4wk.p,Prepubertal,A06P4C
A07P4D,p,4wk.p,Prepubertal,A07P4D
A08P4D,p,4wk.p,Prepubertal,A08P4D
A09P4E,p,4wk.p,Prepubertal,A09P4E
A10P4E,p,4wk.p,Prepubertal,A10P4E
B01L4F,l,4wk.l,Prepubertal,B01L4F
B02L4F,l,4wk.l,Prepubertal,B02L4F
B03L4G,l,4wk.l,Prepubertal,B03L4G
B04L4G,l,4wk.l,Prepubertal,B04L4G
B05L4H,l,4wk.l,Prepubertal,B05L4H
B06L4H,l,4wk.l,Prepubertal,B06L4H
B07L4I,l,4wk.l,Prepubertal,B07L4I
B08L4I,l,4wk.l,Prepubertal,B08L4I
B09L4J,l,4wk.l,Prepubertal,B09L4J
B10L4J,l,4wk.l,Prepubertal,B10L4J
C01P1A,p,4wk.p,Prepubertal,C01P1A
C01P5A,p,4wk.p,Prepubertal,C01P5A
C02P1A,p,4wk.p,Prepubertal,C02P1A
C02P5A,p,4wk.p,Prepubertal,C02P5A
C03P1B,p,4wk.p,Prepubertal,C03P1B
C03P5B,p,4wk.p,Prepubertal,C03P5B
C04P1B,p,4wk.p,Prepubertal,C04P1B
C04P5B,p,4wk.p,Prepubertal,C04P5B
C05P1C,p,4wk.p,Prepubertal,C05P1C
C05P5C,p,4wk.p,Prepubertal,C05P5C
C06P1C,p,4wk.p,Prepubertal,C06P1C
C06P5C,p,4wk.p,Prepubertal,C06P5C
C07P1D,p,4wk.p,Prepubertal,C07P1D
C07P5D,p,4wk.p,Prepubertal,C07P5D
C08P1D,p,4wk.p,Prepubertal,C08P1D
C08P5D,p,4wk.p,Prepubertal,C08P5D
C09P1E,p,4wk.p,Prepubertal,C09P1E
C09P5E,p,4wk.p,Prepubertal,C09P5E
C10P1E,p,4wk.p,Prepubertal,C10P1E
C10P5E,p,4wk.p,Prepubertal,C10P5E
D01L1F,l,4wk.l,Prepubertal,D01L1F
D01L5F,l,4wk.l,Prepubertal,D01L5F
D02L1F,l,4wk.l,Prepubertal,D02L1F
D02L5F,l,4wk.l,Prepubertal,D02L5F
D03L1G,l,4wk.l,Prepubertal,D03L1G
D03L5G,l,4wk.l,Prepubertal,D03L5G
D04L1G,l,4wk.l,Prepubertal,D04L1G
D04L5G,l,4wk.l,Prepubertal,D04L5G
D05L1H,l,4wk.l,Prepubertal,D05L1H
D05L5H,l,4wk.l,Prepubertal,D05L5H
D06L1H,l,4wk.l,Prepubertal,D06L1H
D06L5H,l,4wk.l,Prepubertal,D06L5H
D07L1I,l,4wk.l,Prepubertal,D07L1I
D07L5I,l,4wk.l,Prepubertal,D07L5I
D08L1I,l,4wk.l,Prepubertal,D08L1I
D08L5I,l,4wk.l,Prepubertal,D08L5I
D09L1J,l,4wk.l,Prepubertal,D09L1J
D09L5J,l,4wk.l,Prepubertal,D09L5J
D10L1J,l,4wk.l,Prepubertal,D10L1J
D10L5J,l,4wk.l,Prepubertal,D10L5J
E01P2A,p,4wk.p,Prepubertal,E01P2A
E02P2A,p,4wk.p,Prepubertal,E02P2A
E03P2B,p,4wk.p,Prepubertal,E03P2B
E04P2B,p,4wk.p,Prepubertal,E04P2B
E05P2C,p,4wk.p,Prepubertal,E05P2C
E06P2C,p,4wk.p,Prepubertal,E06P2C
E07P2D,p,4wk.p,Prepubertal,E07P2D
E08P2D,p,4wk.p,Prepubertal,E08P2D
E09P2E,p,4wk.p,Prepubertal,E09P2E
E10P2E,p,4wk.p,Prepubertal,E10P2E
F01L2F,l,4wk.l,Prepubertal,F01L2F
F02L2F,l,4wk.l,Prepubertal,F02L2F
F03L2G,l,4wk.l,Prepubertal,F03L2G
F04L2G,l,4wk.l,Prepubertal,F04L2G
F05L2H,l,4wk.l,Prepubertal,F05L2H
F06L2H,l,4wk.l,Prepubertal,F06L2H
F07L2I,l,4wk.l,Prepubertal,F07L2I
F08L2I,l,4wk.l,Prepubertal,F08L2I
F09L2J,l,4wk.l,Prepubertal,F09L2J
F10L2J,l,4wk.l,Prepubertal,F10L2J
G01P3A,p,4wk.p,Prepubertal,G01P3A
G02P3A,p,4wk.p,Prepubertal,G02P3A
G03P3B,p,4wk.p,Prepubertal,G03P3B
G04P3B,p,4wk.p,Prepubertal,G04P3B
G05P3C,p,4wk.p,Prepubertal,G05P3C
G06P3C,p,4wk.p,Prepubertal,G06P3C
G07P3D,p,4wk.p,Prepubertal,G07P3D
G08P3D,p,4wk.p,Prepubertal,G08P3D
G09P3E,p,4wk.p,Prepubertal,G09P3E
G10P3E,p,4wk.p,Prepubertal,G10P3E
H01L3F,l,4wk.l,Prepubertal,H01L3F
H02L3F,l,4wk.l,Prepubertal,H02L3F
H03L3G,l,4wk.l,Prepubertal,H03L3G
H04L3G,l,4wk.l,Prepubertal,H04L3G
H05L3H,l,4wk.l,Prepubertal,H05L3H
H06L3H,l,4wk.l,Prepubertal,H06L3H
H07L3I,l,4wk.l,Prepubertal,H07L3I
H08L3I,l,4wk.l,Prepubertal,H08L3I
H09L3J,l,4wk.l,Prepubertal,H09L3J
H10L3J,l,4wk.l,Prepubertal,H10L3J
